ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3,Time Step
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      4: Step Time =   5.7500E-02,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,1.08273,7.69E-01,-3.14E-01,-6.95E-01,5.75E-02
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      6: Step Time =   0.1025,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,1.84018,7.80E-01,-1.25449,-1.09712,0.1025
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     11: Step Time =   0.1672,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,2.92747,7.61E-01,-2.31838,-1.61744,0.1672
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     13: Step Time =   0.2146,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,3.55813,7.60E-01,-2.88903,-1.93284,0.2146
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     15: Step Time =   0.2716,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,4.24983,7.82E-01,-3.49264,-2.29165,0.2716
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     18: Step Time =   0.3223,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,4.83862,8.04E-01,-3.99679,-2.60619,0.3223
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     23: Step Time =   0.3588,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,5.25283,8.17E-01,-4.34732,-2.83288,0.3588
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     25: Step Time =   0.4016,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,5.73418,8.30E-01,-4.75099,-3.1016,0.4016
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     29: Step Time =   0.4797,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,6.59458,8.51E-01,-5.4624,-3.59528,0.4797
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     31: Step Time =   0.5102,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,6.92435,8.60E-01,-5.73161,-3.78896,0.5102
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     34: Step Time =   0.5633,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,7.48876,8.74E-01,-6.18856,-4.12542,0.5633
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     38: Step Time =   0.6102,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,7.9741,8.86E-01,-6.57764,-4.41993,0.6102
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     44: Step Time =   0.6619,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,8.49496,8.97E-01,-6.99151,-4.7411,0.6619
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     48: Step Time =   0.7042,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,8.91121,9.07E-01,-7.31951,-5.00126,0.7042
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     52: Step Time =   0.7578,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,9.42455,9.20E-01,-7.71995,-5.32703,0.7578
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     56: Step Time =   0.8045,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,9.86127,9.33E-01,-8.05749,-5.60813,0.8045
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     59: Step Time =   0.8546,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,10.3195,9.44E-01,-8.40874,-5.90701,0.8546
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     63: Step Time =   0.9044,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,10.765,9.55E-01,-8.74725,-6.20149,0.9044
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     66: Step Time =   0.9580,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,11.2321,9.65E-01,-9.09899,-6.51436,0.958
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     69: Step Time =    1.000,PART-1-1,27972,-1.28229,432.801,-701.226,NA,NA,,11.5907,9.72E-01,-9.36688,-6.75727,1
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      0: Step Time =    0.000,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,9.97E-01,1.13E-01,5.52E-01,-8.22E-01,0
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      4: Step Time =   5.7500E-02,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,7.99E-01,2.14E-01,-1.70E-01,-7.50E-01,5.75E-02
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment      6: Step Time =   0.1025,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,1.12141,2.39E-01,-8.58E-01,-6.81E-01,0.1025
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     11: Step Time =   0.1672,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,1.79112,2.37E-01,-1.6513,-6.52E-01,0.1672
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     13: Step Time =   0.2146,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,2.19592,2.42E-01,-2.08006,-6.61E-01,0.2146
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     15: Step Time =   0.2716,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,2.63719,2.63E-01,-2.53378,-6.82E-01,0.2716
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     18: Step Time =   0.3223,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,3.01318,2.85E-01,-2.91549,-7.06E-01,0.3223
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     23: Step Time =   0.3588,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,3.27822,3.01E-01,-3.18299,-7.24E-01,0.3588
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     25: Step Time =   0.4016,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,3.58661,3.17E-01,-3.49321,-7.49E-01,0.4016
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     29: Step Time =   0.4797,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,4.1361,3.44E-01,-4.04424,-7.96E-01,0.4797
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     31: Step Time =   0.5102,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,4.34642,3.54E-01,-4.25453,-8.16E-01,0.5102
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     34: Step Time =   0.5633,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,4.70716,3.71E-01,-4.61454,-8.52E-01,0.5633
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     38: Step Time =   0.6102,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,5.01767,3.84E-01,-4.92395,-8.85E-01,0.6102
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     44: Step Time =   0.6619,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,5.35236,3.99E-01,-5.25692,-9.24E-01,0.6619
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     48: Step Time =   0.7042,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,5.62066,4.10E-01,-5.52346,-9.56E-01,0.7042
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     52: Step Time =   0.7578,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,5.95118,4.26E-01,-5.85141,-9.98E-01,0.7578
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     56: Step Time =   0.8045,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,6.23311,4.40E-01,-6.13079,-1.03497,0.8045
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     59: Step Time =   0.8546,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,6.53015,4.55E-01,-6.42489,-1.07546,0.8546
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     63: Step Time =   0.9044,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,6.81999,4.69E-01,-6.71156,-1.11667,0.9044
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     66: Step Time =   0.9580,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,7.12476,4.84E-01,-7.01277,-1.16151,0.958
C:/Users/ctkey/AppData/Local/Temp/TLC_4P_1-261595971521.444.odb,Load1,Increment     69: Step Time =    1.000,PART-1-1,29044,3.77401,447.902,-709.759,NA,NA,,7.35951,4.95E-01,-7.24462,-1.19706,1
